source,target,weight
0,1,2
0,2,1
0,3,1
0,4,1
0,5,2
0,6,1
0,7,1
0,8,1
0,9,1
0,10,1
0,11,2
0,12,2
0,13,2
0,14,1
0,15,2
0,16,1
0,17,2
0,18,1
0,19,1
0,20,1
0,21,1
0,22,2
0,23,2
1,2,1
1,3,1
1,0,2
1,4,1
1,5,2
1,6,2
1,24,1
1,7,-2
1,8,1
1,9,2
1,11,2
1,12,2
1,13,2
1,15,2
1,17,1
1,25,1
1,19,1
1,20,-1
1,26,2
1,21,1
1,22,2
1,23,2
1,27,1
1,28,1
1,29,1
1,30,1
1,31,2
2,0,1
2,5,-1
2,6,1
2,24,-2
2,7,2
2,10,1
2,32,-1
2,17,1
2,21,2
3,1,1
3,0,1
3,27,2
3,33,2
3,29,2
3,5,1
3,6,2
3,34,2
3,35,2
3,8,2
3,9,2
3,10,1
3,36,2
3,12,1
3,13,2
3,14,2
3,15,2
3,16,1
3,17,1
3,37,1
3,19,2
3,20,1
3,18,2
3,25,1
3,38,1
3,26,2
3,22,1
3,21,2
3,39,2
3,23,1
4,1,1
4,2,1
4,0,1
4,3,1
4,40,1
4,5,1
4,6,1
4,24,1
4,7,1
4,8,1
4,9,2
4,10,2
4,11,1
4,12,2
4,13,1
4,14,1
4,32,1
4,15,1
4,16,1
4,17,2
4,20,-1
4,25,2
4,26,1
4,22,1
4,21,1
4,23,2
5,1,2
5,2,1
5,0,2
5,3,1
5,4,1
5,6,2
5,24,1
5,7,1
5,8,1
5,9,2
5,10,1
5,11,1
5,12,1
5,13,1
5,14,1
5,15,2
5,16,1
5,17,2
5,19,1
5,20,1
5,25,-1
5,26,2
5,22,2
5,21,1
5,23,2
6,1,2
6,2,2
6,3,1
6,0,2
6,40,1
6,4,1
6,5,2
6,24,1
6,7,2
6,8,2
6,9,2
6,10,2
6,11,2
6,12,2
6,13,2
6,14,1
6,32,1
6,15,2
6,16,1
6,17,2
6,18,2
6,25,1
6,19,2
6,20,2
6,26,2
6,21,2
6,22,2
7,2,2
7,0,1
7,40,1
7,4,1
7,5,1
7,6,1
7,8,1
7,9,1
7,10,1
7,11,1
7,12,1
7,14,1
7,15,1
7,16,1
7,17,1
7,18,1
7,22,1
7,21,2
7,23,1
8,1,1
8,2,1
8,3,1
8,0,1
8,40,1
8,4,1
8,5,1
8,6,1
8,24,1
8,7,-1
8,9,1
8,11,-1
8,10,1
8,12,1
8,13,2
8,14,2
8,32,1
8,15,2
8,16,2
8,17,1
8,25,-1
8,26,2
8,21,1
8,22,1
8,23,1
9,2,1
9,1,1
9,3,1
9,0,1
9,4,1
9,5,2
9,6,2
9,8,-1
9,13,1
9,14,1
9,32,1
9,15,2
9,16,1
9,17,2
9,18,1
9,25,2
9,19,1
9,20,-2
9,26,2
9,21,1
9,22,2
9,23,2
10,1,2
10,2,2
10,3,2
10,0,2
10,40,1
10,4,2
10,5,2
10,6,2
10,24,2
10,7,1
10,9,2
10,8,2
10,11,2
10,12,2
10,13,2
10,14,2
10,32,1
10,15,1
10,16,2
10,17,2
10,18,2
10,25,1
10,19,1
10,20,2
10,26,2
10,21,2
10,22,2
10,23,2
11,2,1
11,1,1
11,3,1
11,0,1
11,40,1
11,4,1
11,5,1
11,6,2
11,24,1
11,7,1
11,8,1
11,9,1
11,10,1
11,12,1
11,13,1
11,14,1
11,32,1
11,15,1
11,16,1
11,17,2
11,18,1
11,25,1
11,19,1
11,20,1
11,26,1
11,21,1
11,22,1
11,23,1
12,1,1
12,0,2
12,4,2
12,5,2
12,6,1
12,9,2
12,8,1
12,11,1
12,10,2
12,13,2
12,15,1
12,17,2
12,18,2
12,25,1
12,20,1
12,26,1
12,22,2
12,23,1
13,1,2
13,2,1
13,3,1
13,0,1
13,5,1
13,6,2
13,7,1
13,9,2
13,8,2
13,10,1
13,12,2
13,14,1
13,15,2
13,17,1
13,19,1
13,26,2
13,21,1
13,23,2
14,1,1
14,2,1
14,0,1
14,3,2
14,40,1
14,4,1
14,5,1
14,6,1
14,24,1
14,7,1
14,8,2
14,9,1
14,10,1
14,11,1
14,12,1
14,13,1
14,15,1
14,16,2
14,17,1
14,25,2
14,19,2
14,20,2
14,26,2
14,21,2
14,22,1
14,23,1
15,1,1
15,0,1
15,3,1
15,5,1
15,6,1
15,24,1
15,7,1
15,8,1
15,9,1
15,10,1
15,12,1
15,13,2
15,32,1
15,19,1
15,20,-1
15,18,-1
15,25,-2
15,26,2
15,22,1
15,21,1
15,23,1
16,2,1
16,0,1
16,3,2
16,40,1
16,4,1
16,5,1
16,6,1
16,24,1
16,7,1
16,9,1
16,10,1
16,12,1
16,13,2
16,14,2
16,15,2
16,17,2
16,18,1
16,19,2
16,20,1
16,26,2
16,21,2
16,22,1
16,23,1
17,1,1
17,2,2
17,3,2
17,0,2
17,4,2
17,5,1
17,6,1
17,24,1
17,7,1
17,9,2
17,10,2
17,11,2
17,12,1
17,13,1
17,14,-1
17,16,2
17,25,1
17,19,1
17,20,1
17,26,1
17,21,2
17,22,1
18,2,1
18,3,2
18,0,1
18,6,1
18,7,1
18,8,1
18,12,1
18,13,1
18,15,1
18,25,-2
18,19,1
18,26,1
18,21,1
18,22,1
18,23,1
19,1,1
19,2,1
19,0,1
19,3,2
19,5,1
19,6,1
19,7,1
19,8,1
19,9,1
19,12,1
19,13,2
19,15,2
19,16,1
19,17,1
19,20,1
19,18,2
19,25,-1
19,26,2
19,22,1
19,21,2
