# index,name,course,cluster,sex,prosocial,crttotal,_pos
0,703,1,E,Female,1.0,3.0,"array([2.25619443, 4.65600903])"
1,692,1,E,Female,1.0,0.999999999,"array([2.22979233, 4.67258737])"
2,696,1,E,Female,1.0,3.0,"array([2.26822385, 4.6622123 ])"
3,698,1,E,Female,0.666666667,3.0,"array([2.22799066, 4.68110416])"
4,712,1,E,Male,1.0,2.000000001,"array([2.25263725, 4.67153075])"
5,711,1,E,Female,1.0,,"array([2.22199041, 4.67366423])"
6,723,1,E,Male,1.0,2.000000001,"array([2.25545244, 4.664627  ])"
7,722,1,E,Female,0.333333333,2.000000001,"array([2.24643453, 4.64270494])"
8,737,1,E,Female,1.0,2.000000001,"array([2.22881374, 4.65992114])"
9,741,1,E,Female,0.666666667,2.000000001,"array([2.25280879, 4.64925922])"
10,749,1,E,Male,1.0,0.999999999,"array([2.24096582, 4.66099393])"
11,755,1,E,Male,0.666666667,2.000000001,"array([2.24308192, 4.65236649])"
12,757,1,E,Male,,,"array([2.22616559, 4.65204279])"
13,765,1,E,Female,0.666666667,0.999999999,"array([2.24644336, 4.67953681])"
14,771,1,E,Male,1.0,0.0,"array([2.24556323, 4.66641428])"
15,780,1,E,Female,0.666666667,0.999999999,"array([2.23537165, 4.65410487])"
16,787,1,E,Male,1.0,2.000000001,"array([2.25054331, 4.68872602])"
17,788,1,E,Male,1.0,2.000000001,"array([2.26151655, 4.66900803])"
18,805,1,E,Male,0.666666667,0.999999999,"array([2.2641795, 4.6521158])"
19,797,1,E,Female,0.333333333,0.999999999,"array([2.23532598, 4.64544535])"
20,801,1,E,Male,0.0,0.999999999,"array([2.25709896, 4.69727799])"
21,817,1,E,Female,0.666666667,0.0,"array([2.23816097, 4.67955986])"
22,819,1,E,Female,0.666666667,2.000000001,"array([2.23375452, 4.66605368])"
23,825,1,E,Female,0.666666667,3.0,"array([2.22141376, 4.66426409])"
24,724,1,E,Male,1.0,3.0,"array([2.24833428, 4.70117203])"
25,808,1,E,Male,1.0,2.000000001,"array([2.2391734 , 4.67204283])"
26,820,1,E,Female,1.0,2.000000001,"array([2.25532186, 4.6798313 ])"
27,708,1,C,Female,0.666666667,0.0,"array([2.18993895, 4.6954385 ])"
28,718,1,B,Male,0.333333333,2.000000001,"array([2.26046985, 4.70582552])"
29,710,1,D,Female,0.666666667,0.999999999,"array([2.16665753, 4.73483983])"
30,809,1,A,Male,0.666666667,0.0,"array([2.20895134, 4.74122847])"
31,806,1,A,Female,,,"array([2.23022098, 4.69302088])"
32,776,1,E,Male,1.0,0.999999999,"array([2.2724462 , 4.67555563])"
33,715,1,C,Female,0.666666667,2.000000001,"array([2.19758998, 4.69273739])"
34,734,1,C,Male,0.666666667,2.000000001,"array([2.18812242, 4.66994622])"
35,725,1,C,Female,1.0,0.999999999,"array([2.18900151, 4.65442949])"
36,753,1,A,Female,0.0,2.000000001,"array([2.19280314, 4.70573233])"
37,795,1,A,Female,0.333333333,0.999999999,"array([2.22169896, 4.69320182])"
38,815,1,A,Female,1.0,0.999999999,"array([2.19408679, 4.72861882])"
39,823,1,A,Female,1.0,2.000000001,"array([2.22109066, 4.71642489])"
40,716,1,E,Male,0.666666667,0.0,"array([2.24882687, 4.6590483 ])"
41,699,1,A,Female,0.666666667,0.999999999,"array([2.22042106, 4.70886519])"
42,730,1,A,Female,0.666666667,2.000000001,"array([2.21455916, 4.71345994])"
43,759,1,A,Male,0.333333333,0.999999999,"array([2.2303821 , 4.70094569])"
44,769,1,A,Female,0.666666667,0.999999999,"array([2.22200596, 4.72503729])"
45,760,1,A,Male,0.666666667,0.0,"array([2.22746376, 4.70725213])"
46,775,1,A,Female,,,"array([2.22873382, 4.71971594])"
47,782,1,A,Female,1.0,2.000000001,"array([2.21405164, 4.72262351])"
48,804,1,A,Male,1.0,2.000000001,"array([2.23337249, 4.72677422])"
49,799,1,A,Male,0.666666667,2.000000001,"array([2.21670743, 4.73150998])"
50,693,1,A,Female,0.666666667,2.000000001,"array([2.22479292, 4.73486275])"
51,694,1,A,Male,0.0,0.999999999,"array([2.2013897 , 4.70300525])"
52,733,1,A,Female,0.666666667,0.999999999,"array([2.22898886, 4.74867575])"
53,731,1,A,Male,1.0,0.0,"array([2.21981258, 4.74114514])"
